time,feed,x_feed
0,2,0.5
5,2,0.5
10,2,0.5
15,2,0.5
20,2,0.5
25,2.5,0.5
30,2.5,0.5
35,2.5,0.5
40,2.5,0.5
45,2.5,0.5
50,2.5,0.5
55,2.5,0.5
60,2.5,0.5
65,1.5,0.5
70,1.5,0.5
75,1.5,0.5
80,1.5,0.5
85,1.5,0.5
90,1.5,0.5
95,1.5,0.5
100,1.5,0.5
105,1.5,0.5
110,1.5,0.5
115,1.5,0.5
120,1.5,0.5
125,2,0.5
130,2,0.5
135,2,0.5
140,2,0.5
145,2,0.5
150,2,0.5
155,2,0.5
160,2,0.5
165,2,0.5
170,2,0.5
175,2,0.5
180,2,0.6
185,2,0.6
190,2,0.6
195,2,0.6
200,2,0.6
205,2,0.6
210,2,0.6
215,2,0.6
220,2,0.6
225,2,0.6
230,2,0.6
235,2,0.6
240,2,0.6
245,2,0.4
250,2,0.4
255,2,0.4
260,2,0.4
265,2,0.4
270,2,0.4
275,2,0.4
280,2,0.4
285,2,0.4
290,2,0.4
295,2,0.4
300,2,0.4
305,2,0.5
310,2,0.5
315,2,0.5
320,2,0.5
325,2,0.5
330,2,0.5
335,2,0.5
340,2,0.5
345,2,0.5
350,2,0.5
355,2,0.5
360,2,0.5
365,2,0.5
370,2,0.5
375,2,0.5
380,2,0.5
385,2,0.5
390,2,0.5
395,2,0.5
400,2,0.5
405,2,0.5
410,2,0.5
415,2,0.5
420,2,0.5
425,2,0.5
430,2,0.5
435,2,0.5
440,2,0.5
445,2,0.5
450,2,0.5
455,2,0.5
460,2,0.5
465,2,0.5
470,2,0.5
475,2,0.5
480,2,0.5
485,2,0.5
490,2,0.5
495,2,0.5
500,2,0.5
